bacteria_grown,temperature,humidity
80750.6798320774,24.817574516789,1
33842.0794707539,23.8259363823022,0
194891.669320774,23.2688584020654,1
15359.8515440956,21.0303991746647,1
64627.8610590166,23.7041237930693,0
34716.9828701172,23.7744153959747,0
26389.5943929834,24.8179832077679,0
212050.826467127,27.9561956287739,0
106562.104724432,26.9139369617081,0
386231.123349807,28.4979009865277,1
37443.0833786294,25.1228252589653,0
65803.947236528,28.5503340843733,0
35645.2034491349,24.6544154675953,0
22578.8622238476,22.6484859776358,0
84982.3490417925,26.2948421372998,0
48289.4491891913,25.6273411894192,0
242113.747533312,25.4115646764489,1
23743.0411188533,23.9331143931847,0
119344.889115701,24.2046237126642,1
15829.0888475108,21.3712197773442,1
47676.4166954579,22.9217787849522,1
19388.6105682501,20.0732321318462,1
359120.919224566,29.3270122477651,0
70009.0228613321,26.0925854108403,0
686221.103911334,28.9184569382628,1
60557.4854370158,24.2082484028583,0
150665.647564416,24.0018134401362,1
41530.1511745489,25.5393411796889,0
199256.163396545,25.9625943825077,1
98595.9859655281,25.0627882110499,0
